Timestamp_Epoch_ms,X_mg,Y_mg,Z_mg
1780608024353,-577.0,143.0,783.0
1780608024358,-579.0,146.0,783.0
1780608024363,-580.0,153.0,785.0
1780608024368,-582.0,154.0,784.0
1780608024373,-582.0,151.0,782.0
1780608024378,-584.0,153.0,780.0
1780608024383,-583.0,149.0,779.0
1780608024388,-582.0,151.0,778.0
1780608024393,-589.0,147.0,779.0
1780608024398,-584.0,148.0,775.0
1780608024403,-584.0,146.0,775.0
1780608024408,-580.0,153.0,771.0
1780608024413,-578.0,155.0,768.0
1780608024418,-573.0,155.0,766.0
1780608024423,-568.0,156.0,765.0
1780608024428,-565.0,153.0,764.0
1780608024433,-568.0,156.0,763.0
1780608024438,-568.0,158.0,770.0
1780608024443,-573.0,161.0,770.0
1780608024448,-576.0,163.0,767.0
1780608024453,-577.0,164.0,771.0
1780608024458,-575.0,161.0,775.0
1780608024463,-573.0,161.0,776.0
1780608024468,-569.0,162.0,777.0
1780608024473,-563.0,166.0,776.0
1780608024478,-558.0,164.0,773.0
1780608024483,-563.0,166.0,771.0
1780608024488,-570.0,166.0,769.0
1780608024493,-571.0,166.0,768.0
1780608024498,-573.0,162.0,766.0
1780608024503,-575.0,164.0,770.0
1780608024508,-570.0,160.0,770.0
1780608024513,-572.0,160.0,768.0
1780608024518,-571.0,159.0,774.0
1780608024523,-573.0,159.0,772.0
1780608024528,-576.0,160.0,777.0
1780608024533,-574.0,157.0,780.0
1780608024538,-580.0,157.0,779.0
1780608024543,-583.0,163.0,783.0
1780608024548,-576.0,163.0,789.0
1780608024553,-574.0,167.0,788.0
1780608024558,-579.0,166.0,793.0
1780608024563,-583.0,166.0,792.0
1780608024568,-585.0,166.0,793.0
1780608024573,-584.0,169.0,791.0
1780608024578,-587.0,165.0,784.0
1780608024583,-592.0,158.0,786.0
1780608024588,-590.0,156.0,782.0
1780608024593,-587.0,156.0,780.0
1780608024598,-585.0,150.0,777.0
1780608024603,-587.0,149.0,776.0
1780608024608,-589.0,150.0,773.0
1780608024613,-585.0,149.0,773.0
1780608024663,-578.0,149.0,774.0
1780608024668,-577.0,150.0,773.0
1780608024673,-575.0,144.0,770.0
1780608024678,-577.0,146.0,775.0
1780608024683,-578.0,141.0,771.0
1780608024688,-588.0,140.0,775.0
1780608024693,-592.0,135.0,771.0
1780608024698,-591.0,142.0,767.0
1780608024703,-593.0,138.0,766.0
1780608024708,-599.0,140.0,762.0
1780608024713,-600.0,139.0,763.0
1780608024718,-600.0,140.0,762.0
1780608024723,-599.0,143.0,762.0
1780608024728,-597.0,147.0,764.0
1780608024733,-598.0,142.0,764.0
1780608024738,-598.0,146.0,765.0
1780608024743,-598.0,144.0,766.0
1780608024748,-598.0,146.0,764.0
1780608024753,-598.0,143.0,767.0
1780608024758,-597.0,142.0,764.0
1780608024763,-597.0,142.0,765.0
1780608024768,-598.0,142.0,766.0
1780608024773,-597.0,142.0,769.0
1780608024778,-597.0,142.0,766.0
1780608024783,-600.0,136.0,770.0
1780608024788,-601.0,137.0,765.0
1780608024793,-602.0,141.0,767.0
1780608024798,-603.0,146.0,765.0
1780608024803,-604.0,146.0,763.0
1780608024808,-605.0,140.0,765.0
1780608024813,-605.0,143.0,763.0
1780608024818,-607.0,140.0,763.0
1780608024823,-606.0,134.0,762.0
1780608024828,-608.0,137.0,762.0
1780608024833,-610.0,134.0,762.0
1780608024838,-610.0,132.0,763.0
1780608024798,-611.0,131.0,762.0
1780608024803,-606.0,137.0,766.0
1780608024808,-604.0,132.0,765.0
1780608024813,-604.0,131.0,766.0
1780608024818,-603.0,131.0,763.0
1780608024823,-602.0,126.0,766.0
1780608024828,-602.0,122.0,766.0
1780608024833,-603.0,125.0,767.0
1780608024838,-601.0,118.0,767.0
1780608024843,-601.0,117.0,768.0
1780608024848,-601.0,121.0,767.0
1780608024853,-600.0,113.0,765.0
1780608024858,-600.0,117.0,764.0
1780608024863,-600.0,113.0,765.0
1780608024868,-599.0,112.0,761.0
1780608024873,-600.0,115.0,756.0
1780608024878,-601.0,104.0,759.0
1780608024883,-600.0,110.0,758.0
